    - KAQ5AF4965	 confidence: 74.6964
    - KAQ5AF4965	 confidence: 74.6964
    - KAQ5AF4965	 confidence: 74.6964
    - KAO5AF49G5	 confidence: 75.2336
    - KAO5AF49G5	 confidence: 75.2336
    - KAO5AF49G5	 confidence: 75.2336
    - LA05AF49B5	 confidence: 75.3956
    - LA05AF49B5	 confidence: 75.3956
    - LA05AF49B5	 confidence: 75.3956
    - KAD5AF4965	 confidence: 75.5183
    - KAD5AF4965	 confidence: 75.5183
    - KAD5AF4965	 confidence: 75.5183
    - 1A050F4965	 confidence: 75.6759
    - 1A050F4965	 confidence: 75.6759
    - 1A050F4965	 confidence: 75.6759
    - DAO5AF4965	 confidence: 75.6927
    - DAO5AF4965	 confidence: 75.6927
    - DAO5AF4965	 confidence: 75.6927
    - IA05AE4965	 confidence: 75.7531
    - IA05AE4965	 confidence: 75.7531
    - IA05AE4965	 confidence: 75.7531
    - RAO5AF4965	 confidence: 76.0276
    - RAO5AF4965	 confidence: 76.0276
    - RAO5AF4965	 confidence: 76.0276
    - LA05AF49G5	 confidence: 76.1766
    - LA05AF49G5	 confidence: 76.1766
    - LA05AF49G5	 confidence: 76.1766
    - LA05AE4965	 confidence: 76.192
    - LA05AE4965	 confidence: 76.192
    - LA05AE4965	 confidence: 76.192
    - HAO5AF4965	 confidence: 76.2927
    - HAO5AF4965	 confidence: 76.2927
    - HAO5AF4965	 confidence: 76.2927
    - MAO5AF4965	 confidence: 76.3063
    - MAO5AF4965	 confidence: 76.3063
    - MAO5AF4965	 confidence: 76.3063
    - IKA050F4965	 confidence: 76.401
    - IKA050F4965	 confidence: 76.401
    - IKA050F4965	 confidence: 76.401
    - 1A05AF4965	 confidence: 76.5426
    - 1A05AF4965	 confidence: 76.5426
    - 1A05AF4965	 confidence: 76.5426
    - LAQ5AF4965	 confidence: 76.8676
    - LAQ5AF4965	 confidence: 76.8676
    - LAQ5AF4965	 confidence: 76.8676
    - LA050F4965	 confidence: 77.0095
    - LA050F4965	 confidence: 77.0095
    - LA050F4965	 confidence: 77.0095
    - KAO5AF49B5	 confidence: 77.0961
    - KAO5AF49B5	 confidence: 77.0961
    - KAO5AF49B5	 confidence: 77.0961
    - UAO5AF4965	 confidence: 77.1662
    - UAO5AF4965	 confidence: 77.1662
    - UAO5AF4965	 confidence: 77.1662
    - IKAO5AA965	 confidence: 77.2453
    - IKAO5AA965	 confidence: 77.2453
    - IKAO5AA965	 confidence: 77.2453
    - IKA05AE4965	 confidence: 77.2555
    - IKA05AE4965	 confidence: 77.2555
    - IKA05AE4965	 confidence: 77.2555
    - IKA05AF4965	 confidence: 77.2678
    - IKA05AF4965	 confidence: 77.2678
    - IKA05AF4965	 confidence: 77.2678
    - IKA050F965	 confidence: 77.3421
    - IKA050F965	 confidence: 77.3421
    - IKA050F965	 confidence: 77.3421
    - LAD5AF4965	 confidence: 77.3585
    - LAD5AF4965	 confidence: 77.3585
    - LAD5AF4965	 confidence: 77.3585
    - UAO5AF4965	 confidence: 77.3763
    - UAO5AF4965	 confidence: 77.3763
    - UAO5AF4965	 confidence: 77.3763
    - IKAO5AF4965	 confidence: 77.4715
    - IKAO5AF4965	 confidence: 77.4715
    - IKAO5AF4965	 confidence: 77.4715
    - LA05DF4965	 confidence: 77.4852
    - LA05DF4965	 confidence: 77.4852
    - LA05DF4965	 confidence: 77.4852
    - HAO5AF4965	 confidence: 77.5142
    - HAO5AF4965	 confidence: 77.5142
    - HAO5AF4965	 confidence: 77.5142
    - KA05AF4965	 confidence: 77.6393
    - KA05AF4965	 confidence: 77.6393
    - KA05AF4965	 confidence: 77.6393
    - LA05AFA965	 confidence: 77.7261
    - LA05AFA965	 confidence: 77.7261
    - LA05AFA965	 confidence: 77.7261
    - MAO5AF4965	 confidence: 77.7896
    - MAO5AF4965	 confidence: 77.7896
    - MAO5AF4965	 confidence: 77.7896
    - KAO5AE49G5	 confidence: 77.8137
    - KAO5AE49G5	 confidence: 77.8137
    - KAO5AE49G5	 confidence: 77.8137
    - RAO5AF4965	 confidence: 77.8901
    - RAO5AF4965	 confidence: 77.8901
    - RAO5AF4965	 confidence: 77.8901
    - IKA05AF965	 confidence: 78.0982
    - IKA05AF965	 confidence: 78.0982
    - IKA05AF965	 confidence: 78.0982
    - IKA05AF965	 confidence: 78.2089
    - IKA05AF965	 confidence: 78.2089
    - IKA05AF965	 confidence: 78.2089
